,Date,Tweet
101,Mon Nov 27 20:15:06 +0000 2017,"Hey, @NiallOfficial ? That #AMAs trophy looks good on you. #NIALLxAMAs https://t.co/liagWh3Xbx"
102,Sun Nov 26 18:28:26 +0000 2017,"HE THE BEST! ?? Happy birthday, @djkhaled! https://t.co/QriBqT9e4h"
103,Fri Nov 24 21:36:00 +0000 2017,"What was your favorite @NickJonas #AMAs moment? Tweet me!

https://t.co/2WAdKcqYgr"
104,Fri Nov 24 19:22:00 +0000 2017,"If I could have just one ounce of @ddlovato's fierceness, life would be great. #DEMIxAMAs 

https://t.co/4mwc0s1n7w"
105,Fri Nov 24 17:38:17 +0000 2017,RT @HannahStocking: this is so accurate ? https://t.co/NUqyilfE9u
106,Fri Nov 24 17:31:58 +0000 2017,#ARMYxAMAs! There are still #BTSxAMAs pins and patches available. Get them here ?? https://t.co/ltJYLC22Am and twee… https://t.co/9gcqPaczJo
107,Fri Nov 24 03:38:00 +0000 2017,"When you look around you and are thankful for everything you have

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/xDTb4IkHN5"
108,Fri Nov 24 02:20:01 +0000 2017,"When you’re trying to get a game of football going but everyone’s too tired

Happy Thanksgiving!… https://t.co/F1tPUdT7K8"
109,Fri Nov 24 01:36:00 +0000 2017,"When you’re sitting at the kids table and trying to make the baby laugh

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/QseqRPCb2e"
110,Fri Nov 24 00:15:00 +0000 2017,"When you overhear your parents bragging about how well you’re doing in school

Happy Thanksgiving!… https://t.co/6Y2pE63asU"
111,Thu Nov 23 22:35:00 +0000 2017,"When your mouth just wants to keep eating but your stomach can’t take any more

Happy Thanksgiving!… https://t.co/7kna3wgHiF"
112,Thu Nov 23 21:15:00 +0000 2017,"When your uncles get into a hilarious argument that you have to share

Happy Thanksgiving! https://t.co/Li9fO96Y6S https://t.co/MK0TgGBK6a"
113,Thu Nov 23 20:12:00 +0000 2017,"When you’re the only one watching sports on TV and your favorite team scores

Happy Thanksgiving!… https://t.co/ntpwAZxFkR"
114,Thu Nov 23 19:00:00 +0000 2017,"When you reunite with your favorite cousin that you haven’t seen in a year

Happy Thanksgiving!… https://t.co/rugCp43yU4"
115,Thu Nov 23 18:22:18 +0000 2017,RT @TheEllenShow: Andy Zenor hit the red carpet of the #AMAs with the biggest stars and a lot of drinking. https://t.co/ti5WLBK1vH
116,Thu Nov 23 18:19:27 +0000 2017,RT @xtina: #amas x @vevo https://t.co/j4ZlZlU21e #whitneyxchristina https://t.co/6yXtPFDeDH
117,Thu Nov 23 18:09:41 +0000 2017,"When your phone gives you the wrong directions to your dinner and you’re now in a strange part of town

Happy Thank… https://t.co/OFexjdS4L4"
118,Thu Nov 23 01:37:05 +0000 2017,S/O to @portugaltheman. ?? We had so much fun at the #AMAs w you! https://t.co/6D4EZ0qn8V
119,Thu Nov 23 00:00:02 +0000 2017,"V thankful for all of the amazing collaborations the #AMAs brings together each year. ?

https://t.co/F6cJmA8iJO"
120,Wed Nov 22 22:47:00 +0000 2017,"You're welcome. #SHAWNxAMAs 

https://t.co/nw5eyQXvrh"
121,Wed Nov 22 21:58:01 +0000 2017,.@patrickstarrr BROUGHT ? IT ? to the #AMAs red carpet. ? https://t.co/bJttER236F
122,Wed Nov 22 20:41:00 +0000 2017,The show may be over ? but the #AMAs lives on with @FLAGALine &amp; @BebeRexha's exclusive encore performance on… https://t.co/0cyEc3TVRY
123,Wed Nov 22 19:19:32 +0000 2017,Happy #NationalJukeboxDay! Celebrate with @TouchTunes jukeboxes today and go listen to the #AMAs playlist. ? https://t.co/X8G6ghOoDc
124,Wed Nov 22 18:15:09 +0000 2017,Just your casual #AMAs red carpet slayage by @ALISHAMARIE ? https://t.co/2e708kFwy4
125,Wed Nov 22 17:21:19 +0000 2017,"RT @xtina: #whitneyxchristina x @amas
https://t.co/lKhLOBCRDz"
126,Wed Nov 22 01:51:18 +0000 2017,RT @NiallOfficial: Maybe so ??. https://t.co/8V2Fi3ZvKP
127,Wed Nov 22 01:23:06 +0000 2017,.@calebrmclaughl1 #AMAs arrival on point. ? https://t.co/y8LD2jbydf
128,Wed Nov 22 00:25:00 +0000 2017,"I have permanent chills from @xtina's Whitney Houston tribute at the #AMAs. #WHITNEYxCHRISTINA 

https://t.co/TJjiAWgT4R"
129,Tue Nov 21 23:35:00 +0000 2017,.@FLAGALine? ?? @BebeRexha? ?? The only thing missing is YOU. Be sure to watch their #AMAs encore performance on… https://t.co/I8iDP6wtIf
130,Tue Nov 21 22:40:00 +0000 2017,"Okay guys, we really need to talk about something: I'm going to go out on a limb and declare that @NiallOfficial is… https://t.co/LRPWxWfTXI"
131,Tue Nov 21 21:52:02 +0000 2017,Rock the pant suit ?? @HaileeSteinfeld ? #AMAs https://t.co/HqUDVvkEg9
132,Tue Nov 21 21:38:15 +0000 2017,"RT @Zedd: If you missed #Stay on the AMAs, you can watch @alessiacara and I performing it here: https://t.co/TmWQRA6Af5 https://t.co/wR5ihi…"
133,Tue Nov 21 21:31:58 +0000 2017,RT @FLAGALine: Our @AMAs encore performance of 'Meant to Be' with @BebeRexha is LIVE on @Xfinity on Demand right now! What did y'all think?…
134,Tue Nov 21 21:06:04 +0000 2017,I just ? @FLAGALine so much! Some consider these two the ? KINGS ? of collaborations. #AMAs https://t.co/w0nK7MjBDM
135,Tue Nov 21 20:22:05 +0000 2017,.@Macklemore looking ? in ? ! #AMAs https://t.co/OlLLDhJtMo
136,Tue Nov 21 19:59:38 +0000 2017,RT @macklemore: Incredible time at the @AMAs with @SkylarGrey . Check it out! Full performance here: https://t.co/9sm1BU0XXm https://t.co/u…
137,Tue Nov 21 19:48:49 +0000 2017,Can we talk about that time @Pink was literally performing from the side of a Los Angeles sky scraper? Like WHO DOE… https://t.co/4IRQp7gzfD
138,Tue Nov 21 19:21:00 +0000 2017,RT @xtina: ? ?@amas #whitneyxchristina https://t.co/SOkjDKDpLk
139,Tue Nov 21 19:01:17 +0000 2017,What a GORGEOUS couple. ? @AnselElgort &amp; Violetta Komyshan! https://t.co/R6vu31opmB
140,Tue Nov 21 18:37:37 +0000 2017,RT @JessicaSimpson: Favorite @AMAs performance?
141,Tue Nov 21 17:55:10 +0000 2017,RT @nickjonas: Great energy at the #AMAs this year. Always a fun time. Thank you @amas for inviting me to perform #FindYou. @shawnmendes @A…
142,Tue Nov 21 17:17:28 +0000 2017,"I'm not crying, you're crying! Re-watch all of the acceptance speeches from the #AMAs ?

https://t.co/el1OsIEPCN"
143,Tue Nov 21 06:37:33 +0000 2017,RT @TouchTunes: How awesome were the #AMAs last night!? So excited #NationalJukeboxDay is THIS Wednesday. ? #MotivationMonday https://t.co/…
144,Tue Nov 21 06:35:21 +0000 2017,@liamgiggles @NiallOfficial @ShawnMendes Omg hi!!!
145,Tue Nov 21 05:32:12 +0000 2017,RT @Alesso: Thanks for having me @AMAs https://t.co/FiykYWTtgY
146,Tue Nov 21 05:32:07 +0000 2017,RT @djkhaled: This how I'm feeling after winning a @amas !! I WILL NEVER STOP !!!!! @wethebestmusic @rocnation… https://t.co/MDgfgZYmVm
147,Tue Nov 21 03:24:03 +0000 2017,They have so much LOVE for their #ARMY. Check out a behind-the-scenes feature of @BTS_twt's #AMAs rehearsal! ?… https://t.co/u2HEMYlxGv
148,Tue Nov 21 02:37:00 +0000 2017,Huge shoutout to the girl sitting right behind @NiallOfficial and @ShawnMendes at the #AMAs - hit us up. We need to… https://t.co/WGhrKDn6JH
149,Tue Nov 21 02:06:01 +0000 2017,"It wasn't a dream, @Pink actually performed on the side of a building at the #AMAs. https://t.co/MjTbWVLwUk… https://t.co/tooKx7peCo"
150,Tue Nov 21 01:32:00 +0000 2017,"Umm, we need to talk about how awesome @selenagomez's night was at the #AMAs. https://t.co/oYeX8V2PGj #SELENAxAMAs https://t.co/ArMOJ6bAfH"
151,Tue Nov 21 01:10:00 +0000 2017,"I want to know what your favorite #AMAs red carpet looks are! Vote for them here. ??

https://t.co/BSCkQIkqIE"
152,Tue Nov 21 00:40:05 +0000 2017,"When #ThisisUs &amp; #Riverdale collide at the #AMAs. ??? 

@ChrissyMetz @kj_apa https://t.co/XpSVzOuJi6"
153,Tue Nov 21 00:27:10 +0000 2017,RT @BebeRexha: The @AMAs #MeantToBe encore performance w @FLAGALine is still up to watch on @xfinity on demand!! Watch now #AMAs https://t.…
154,Tue Nov 21 00:26:47 +0000 2017,RT @ParisHilton: @Xtina #Killedit during her #WhitneyHoustonTribute at the #AMAs. ? #iconic
155,Tue Nov 21 00:05:06 +0000 2017,.@marshmellomusic lookin' dapper! #AMAs https://t.co/v6vMuAdv2k
156,Mon Nov 20 23:55:37 +0000 2017,RT @Pink: ??????????? https://t.co/35wotkUI95
157,Mon Nov 20 23:34:00 +0000 2017,"They say that there's no such thing as *perfect* but who are ""they"" and did they see @BTS_twt's #AMAs performance b… https://t.co/SfUeHV0FW3"
158,Mon Nov 20 23:23:11 +0000 2017,RT @Imaginedragons: but last night @thegreatkhalid https://t.co/S1wm46huKr
159,Mon Nov 20 23:23:07 +0000 2017,RT @Zedd: Thank you @AMAs ?? https://t.co/KSYD2shy6X
160,Mon Nov 20 23:22:57 +0000 2017,RT @BTS_twt: with @PostMalone ???? https://t.co/dxOsy8HJrC
161,Mon Nov 20 23:22:44 +0000 2017,"RT @HaileeSteinfeld: THANK YOU @AMAs ????

#LETMEGO https://t.co/7By852Z0Gj"
162,Mon Nov 20 23:22:40 +0000 2017,RT @ladygaga: We had a killer time performing and I’m so honored that we won Favorite Pop/Rock female I was so surprised I “ugly cried”. My…
163,Mon Nov 20 23:22:37 +0000 2017,RT @ladygaga: Behind the Scenes Last night getting ready for the #AmericanMusicAwards2017 show with Hair @faspiras Makeup @SarahTanno @Face…
164,Mon Nov 20 23:05:00 +0000 2017,Head on over ?? to @Xfinity On Demand NOW to watch @FLAGALine &amp; @BebeRexha's #AMAs encore performance of 'Meant to… https://t.co/C2w5IScVHc
165,Mon Nov 20 22:32:00 +0000 2017,Our very own Diamond Diana on stage at our 45th American Music Awards! Our favorite songs are now available on her… https://t.co/FPdtlUhtS7
166,Mon Nov 20 22:02:01 +0000 2017,Thanks for COMING THRU @djkhaled and @asahdkhaled! #AMAs https://t.co/ya0GsrAY6g
167,Mon Nov 20 21:42:22 +0000 2017,"RT @IISuperwomanII: I don't care if I broke my damn ankles, I met the fine af humans that comprise @bts_bighit #AMAs
https://t.co/TiWVDbwfny"
168,Mon Nov 20 21:22:00 +0000 2017,When you realize it's a short work week. @nickjonas #AMAs https://t.co/GW0tsWEuI8
169,Mon Nov 20 21:00:02 +0000 2017,".@NiallOfficial be like ¯\_(?)_/¯ 

More audience pics from the #AMAs: https://t.co/eDmNlckkxI https://t.co/Dk5TM42pnV"
170,Mon Nov 20 20:26:40 +0000 2017,"RT @QuavoStuntin: I WON a AMA AWARD 
God Is Good
#AMAs2017
#imtheone
Fav Hip Hop Song"
171,Mon Nov 20 20:26:17 +0000 2017,RT @portugaltheman: Whoa. How they do that @AMAs #AMAs https://t.co/YgmQ0CSu1c
172,Mon Nov 20 20:11:21 +0000 2017,".@ShawnMendes HAS TO KNOW that when he smiles like this, we all melt into puddles on the floor. Yet he does it anyw… https://t.co/Df062fnZVZ"
173,Mon Nov 20 19:35:52 +0000 2017,Thank you SO MUCH to @GIPHY for GIF-ing the #AMAs last night! All the GIFs: https://t.co/OhtvPzFzfS https://t.co/8MfwdtgTbS
174,Mon Nov 20 19:24:23 +0000 2017,.@lilireinhart &amp; @CamilaMendes from #Riverdale looked drop dead GORGEOUS at the #AMAs! ? https://t.co/eTbYP7Uu2o
175,Mon Nov 20 19:15:13 +0000 2017,RT @ddlovato: I see you @BTS_twt ??? #SORRYNOTSORRY https://t.co/kULRHBlboD
176,Mon Nov 20 19:15:07 +0000 2017,RT @kelly_clarkson: Loved walking the carpet last night with our daughters ? #Savannah #RiverRose #WholeLottaWomen ? https://t.co/efwrXa67Ng
177,Mon Nov 20 19:14:34 +0000 2017,RT @DianaRoss: This is what's love is all about - I'm sending Love to our global family.  #AMAs https://t.co/MZgtdbtTIM
178,Mon Nov 20 19:00:03 +0000 2017,"Here is a full list of winners at the 45th American Music Awards! #AMAs 

https://t.co/g6slao5Qr7"
179,Mon Nov 20 18:35:44 +0000 2017,RT @marshmellomusic: What a performance ?? @selenagomez @thisiswatt @AMAs https://t.co/JAeAewJy20
180,Mon Nov 20 18:34:05 +0000 2017,"Ok WOW I see you, @jennadewan! ? #AMAs https://t.co/h98JyfAXmo"
181,Mon Nov 20 18:15:06 +0000 2017,Lights. ? Camera. ? Action. ? @zedd #STAYxAMAs https://t.co/WqjVBL0NLf
182,Mon Nov 20 18:02:06 +0000 2017,Hiii @Pink you are perfect! ? #AMAs https://t.co/rxBOhEQDUt
183,Mon Nov 20 17:46:03 +0000 2017,.@G_Eazy makes looking this good look easy! ? #AMAs https://t.co/sSXEa9mUrd
184,Mon Nov 20 17:30:01 +0000 2017,Isn't @KELLYROWLAND just FABULOUS? ?? She gave some extra love to @Pink &amp; @DianaRoss before the show. #AMAs https://t.co/cm61GHGmE4
185,Mon Nov 20 17:10:00 +0000 2017,"These stars had FUN on social media ahead of the #AMAs! ?

https://t.co/rlvbVlPRgt"
186,Mon Nov 20 17:04:16 +0000 2017,RT @Lin_Manuel: Yowza! Thanks @AMAs! https://t.co/q8y95XNAhI
187,Mon Nov 20 17:00:43 +0000 2017,RT @jessetyler: Thanks for the snacks! #AmericanMusicAwards2017 https://t.co/r9Q9ZQouST
188,Mon Nov 20 16:54:04 +0000 2017,"RT @justinhartley: Hahaha.  Yeah, that was wonderful.  I’ve never seen anything like that before. @Pink #AMAs https://t.co/nnZC7HQLHj"
189,Mon Nov 20 16:49:06 +0000 2017,RT @katyperry: HOLY SHIT @PINK'S @AMA PERFORMANCE IS THE STUFF OF LEGEND
190,Mon Nov 20 16:48:34 +0000 2017,"RT @carrieunderwood: So amazing!!! Thank you, fans, for this! I so wanted to go to the #AMAs just in case because I know how hard you’ve be…"
191,Mon Nov 20 16:47:34 +0000 2017,RT @BTS_twt: aRMy the bESt !! ? #BTSxAMAs https://t.co/ABIjDJzIWR
192,Mon Nov 20 16:46:24 +0000 2017,@ladygaga Wow chills!! Congratulations! ? #GAGAxAMAs
193,Mon Nov 20 16:45:54 +0000 2017,RT @ladygaga: Last night was one of the best nights of my life! We loved performing “The Cure” I was honored to win #AmericanMusicAwards201…
194,Mon Nov 20 16:45:06 +0000 2017,"Before @portugaltheman performed 'Feel It Still' at the #AMAs, they stopped by on the red carpet! #PTMxAMAs https://t.co/PsbwsMhQ55"
195,Mon Nov 20 16:05:01 +0000 2017,"OH. MY. GOSH. DID YOU SEE THESE AWESOME #AMAs PERFORMANCES? 

https://t.co/mU0jpNVepW"
196,Mon Nov 20 15:43:28 +0000 2017,Can’t get @nickjonas’ ‘Find You’ out of my head and I’m really not mad about it. ? #NICKJONASxAMAs #AMAs https://t.co/QwM39z1SZq
197,Mon Nov 20 15:32:07 +0000 2017,RT @Alesso: Thank you @AMAs for a special night. Love @john and @postmalone hanging out in the background of this interview. https://t.co/U…
198,Mon Nov 20 15:31:48 +0000 2017,"RT @marshmellomusic: I honestly couldn’t be any more happy while watching @selenagomez deliver that performance. Her talent is unreal, bles…"
199,Mon Nov 20 15:31:02 +0000 2017,RT @portugaltheman: @AMAs So much fun!!! That was ridiculous! DIANA ROSS!
