sentiment,text
positive,"I'll be sitting right here watching the @BBMAs Red Carpet for the next 2 hours. Join me! #BBMAs

https://t.co/gqjybzfhQZ"
positive,SO ? MANY ? AMAZING ? PERFORMERS set for the @BBMAs. RT if you're watching! This Sunday at 8 ET/5 PT on NBC. #BBMAs https://t.co/m7enbVQcje
neutral,"RT @TraceeEllisRoss: I GET IT FROM MY MAMA
@dianaross ????
#MothersDay https://t.co/qaOAhHyF6f"
neutral,The @BBMAs performer announcements this week. ???? #BBMAs https://t.co/nXwhLeqDOt
negative,"Tomorrow, @littlebigtown is taking the @ACMawards stage to pay tribute to @eltonofficial with a performance of “Roc… https://t.co/gthJL9gkUZ"
neutral,"RT @richardmarx: #FBF, performing at the @AMAs in 1990 #richardmarx https://t.co/ZnKupYHd1F"
positive,A million happy birthday wishes to @ladygaga! ?? https://t.co/Qyckh4BTqX
positive,"LIFETIME ACHIEVEMENT. ?? 

Happy birthday, Ms. Ross! https://t.co/0Pzs84ooG2"
positive,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
neutral,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
positive,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
positive,RT @katyperry: Yes I brought you back cause I believe in you... and then America voted you back on the @AMAs ?? https://t.co/aeNrfnaeKh
neutral,BOSS... the host of the 2017 #AMAs. ? Enough said. #InternationalWomensDay https://t.co/gqWBoppXla
positive,"A driven, stunning and talented woman... the 2016 #AMAs host. #InternationalWomensDay https://t.co/W8fZHmqP7d"
positive,"One inspiring, powerful and strong woman... the host of the 2015 #AMAs. ? #InternationalWomensDay https://t.co/0HAI7cchx0"
positive,"It’s definitely not too late to say HBD JB! Happy 24th birthday, @justinbieber ? https://t.co/TDkNaUrvGg"
neutral,".@BTS_twt ARMY LAST CALL! ? The last day to order your #BTSxAMAs pins and patches is this Wednesday, February 28th!… https://t.co/uGYxBGojL1"
positive,Happy birthday QUEEN RIRI! ? @rihanna https://t.co/FeuioRe7R4
negative,"RT @donnyosmond: 2/19/74 @michaeljackson and I hosted the very 1st @AMAs. Can't believe this was 44 years ago! Missing you today, #MJ. Who…"
neutral,@ss_shawarmy @BTS_twt ??
positive,"“The #AMAs were the biggest gift we could have gotten from our fans."" #BTSonBillboard https://t.co/gXcdRwRGQA"
positive,"Get you someone who looks at you the way @keithurban looks at Nicole Kidman. ? Happy #ValentinesDay, loves! https://t.co/tLJgv87TBA"
positive,"NEW DATE, SAME UNFORGETTABLE NIGHT. 

The 2018 American Music Awards will be LIVE Tuesday, October 9th on ABC. #AMAs https://t.co/WOoB79Gt6j"
positive,"Congrats, @BTS_twt! ?? #DNAwentGOLD https://t.co/9Xc0tRxE9T"
positive,"Happy birthday, @thegreatkhalid! ???? https://t.co/rxWa2AnfK8"
neutral,@joafrcaetano @Pink ME TOO! I watched it again today and CHILLS.
positive,Forever inspired by @Pink. ? #tbt https://t.co/SGJlp4i4O6
neutral,Running to the living room for #JTSuperbowl like... ?? #Superbowl https://t.co/s42oqe5Go0
positive,"Hey, if you know what's good, you know it's @jtimberlake's birthday! ? HBD JT and good luck this weekend! ? Throw ?… https://t.co/am2gyeHbjJ"
neutral,"RT @TheTimMcGraw: From the 2016 @AMAs
Photo by Frederick M. Brown
#TeamMcGraw https://t.co/53QR87agcp"
positive,Love this photo. Love this cartoon. ? https://t.co/wZkTTt8nEH
positive,@alulawings @ShawnMendes @NiallOfficial this is amazing
positive,@kthtoh @BTS_twt YAY!!
neutral,@nnicepaprika ???
neutral,@GoosyBanshee yessssss ??
neutral,#AMAs in B&amp;W ? https://t.co/mEvzJlTZpd
positive,"Today, 25 years ago, were the 1993 #AMAs! Michael Jackson took home three awards and @MariahCarey &amp; @reba each won… https://t.co/yFIllYxCkf"
positive,"RT @PearlJam: #OnThisDay in 1993, #PearlJam won two @AMAs for Favorite New Artist - Pop/Rock and Favorite New Artist - Heavy Metal/Hard Roc…"
positive,"On this day in 1990, @JanetJackson took home TWO #AMAs including Favorite Single - Dance Music. ? https://t.co/lGzZD2Nnz7"
neutral,"RT @destinyschild: .@KELLYROWLAND, @Beyonce and @RealMichelleW took home two trophies at the 29th Annual @AMAs, held #OTD in 2002! The grou…"
positive,"RT @NKOTB: ""Music truly is the international language and the universal language, even if it is spoken with a Boston accent."" 28 years to t…"
neutral,I have watched the 2017 #AMAs Instagram Story SO many times and now you can too because we re-posted it! Go watch a… https://t.co/lNvNiijCcI
neutral,"RT @BBMAs: Let the countdown BEGIN. ?

The 2018 #BBMAs are LIVE coast-to-coast on Sunday, May 20th at 8pm ET/5pm PT on @NBC. https://t.co/G…"
neutral,RT @SpringMochin: my pin ? #BTSxAMAs @BTS_twt https://t.co/iYFbaTUvMT
positive,"RT @mazie_JM: Finally sewed #BTSxAMAs patch onto my favorite bomber jacket...???
...means I will definitely wear to work 
@BTS_twt https://…"
positive,Did @thegreatkhalid have the time of his life performing on @NYRE? The answer is absolutely yes. PROOF:… https://t.co/OhHo8HafJv
positive,Because you can never have too many photos of @BTS_twt on @NYRE... here are ALL OF THEM! Tweet me your favorite one… https://t.co/ys8hsY0LCG
negative,If you didn't see @NYRE on Sunday (I'm really sorry to hear that) but here are a ton of photos of what you missed:… https://t.co/kFv3oNnQmQ
neutral,Where to find @nickjonas tonight? He’s performing LIVE from Times Square on @NYRE! Ring in the new year at 8/7c on… https://t.co/BFAdU9EUlg
positive,RT @Trinity_Lei: Look what came in today! I love them ?? @BTS_twt @bts_bighit #BTS #BTSxAMAs https://t.co/nJzAItE2qY
positive,RT @jaimemrozek: finally got my #BTSxAMAs pin in the mail and it’s so cute!!! I’m gonna wear it with pride to show my support for my boys @…
positive,RT @JIMlNOPPA: my #BTSxAMAs patches and pins came :-) @BTS_twt https://t.co/2ErtL9X09B
positive,"RT @kaleidoscopebts: #BTSxAMAs, so exited to have received these pins for Christmas! Definitely representing @BTS_twt's #ARMY today! https:…"
neutral,"RT @TheTimMcGraw: @AMAs 2016 
Photo by Frederick M. Brown
#TeamMcGraw https://t.co/hTlOlD0RnU"
positive,"Happy birthday to the one and only, @JaredLeto ?? https://t.co/Lj55oyiDjj"
negative,I had my ? fingers crossed ? that @Imaginedragons and @thegreatkhalid would release their Thunder / Young Dumb &amp; Br… https://t.co/njPiNXc5th
positive,THIS IS FANTASTIC NEWS! ? https://t.co/fLstdqsVRY
positive,"Happy birthday, @xtina ? https://t.co/bCZyKwqBcq"
negative,Here’s a #DEMIxAMAs #TBT. Sorry not sorry. ???? @ddlovato https://t.co/f6ogXS8Sv0
positive,"RT @NYRE: ? #RockinEve Hollywood Party lineup hosted by @Ciara:

@Alesso
@kanebrown
@BTS_twt
@alessiacara
@kelly_clarkson
@FitzAndTantrums…"
positive,"Happy 21st birthday, @HaileeSteinfeld ? https://t.co/gdkQhN1Jpv"
positive,#FridayFeeling heading into the weekend like ? @marshmellomusic https://t.co/LkMijRQy68
positive,"Happy birthday to 6-time #AMAs winner, @NICKIMINAJ ? https://t.co/fLLZ5pQBWt"
neutral,To get to you. ?? #TBT https://t.co/ljOi0uz6IJ
positive,Send this tweet to someone you hope *takes a hint* about what to get you for the holidays. ? https://t.co/ltJYLC22Am https://t.co/3gW9lr8ptf
neutral,Just a reminder that @Pink performed on the side of a skyscraper. #MondayMotivation https://t.co/SQSelMJoqj
positive,RT @JorgeBlancoG: .@AMAs Thank you for including my new song with @kriskrossadam #GoneIsTheNight!! ?? https://t.co/pVeKBioClD
positive,I made you a playlist of new tunes to get you ready for the weekend called Friday First Listen! Bump to these tunes… https://t.co/uqD5Dq3luL
neutral,"RT @TraceeEllisRoss: Got to meet @BTS_twt at the @AMAS! ?#AMAs #FBF
?: @CatieLaffoon https://t.co/Vt3lhiCIdL"
neutral,RT @thegreatkhalid: ??? https://t.co/UgUbQh3V2n
positive,"This year, we invited inspiring photographers and music fans to photograph the #AMAs red carpet! The unbreakable bo… https://t.co/P2MjbH7XG3"
positive,@Iggy_proof @ladygaga Amazing!
positive,TGIF mood. ?? @alessiacara https://t.co/b0JQseXDlh
neutral,"#TBT to that time @selenagomez rocked the #AMAs red carpet in leather and blonde hair. ? #SELENAxAMAs 

?:… https://t.co/OV3Px5Hidk"
positive,"""Thank you to our fans for making this happen for us. This is insane."" 

@TheChainsmokers #TBT #AMAs https://t.co/5yKV6WuA6i"
positive,RT @billboard: BTS surge up the album &amp; song charts following their American Music Awards performance https://t.co/mjvQsKRqml
negative,?? I miss #BTSxAMAs https://t.co/4FbfHoZCH5
positive,"""Take a moment to appreciate what you've got and #MakeChesterProud."" @linkinpark #AMAs https://t.co/SpoO0hSXnK"
neutral,A touching moment between @xtina and Pat Houston after her tribute to Whitney Houston at the #AMAs. ?… https://t.co/IWFG8sd4vJ
neutral,"OH... hello there, @AnselElgort ? #AMAs https://t.co/UTPHOCjs3q"
positive,Stunning. ? @violadavis x #AMAs https://t.co/u1zfoClfFy
positive,"Hey, @NiallOfficial ? That #AMAs trophy looks good on you. #NIALLxAMAs https://t.co/liagWh3Xbx"
positive,"HE THE BEST! ?? Happy birthday, @djkhaled! https://t.co/QriBqT9e4h"
positive,"What was your favorite @NickJonas #AMAs moment? Tweet me!

https://t.co/2WAdKcqYgr"
positive,"If I could have just one ounce of @ddlovato's fierceness, life would be great. #DEMIxAMAs 

https://t.co/4mwc0s1n7w"
neutral,RT @HannahStocking: this is so accurate ? https://t.co/NUqyilfE9u
neutral,#ARMYxAMAs! There are still #BTSxAMAs pins and patches available. Get them here ?? https://t.co/ltJYLC22Am and twee… https://t.co/9gcqPaczJo
positive,"When you look around you and are thankful for everything you have

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/xDTb4IkHN5"
positive,"When you’re trying to get a game of football going but everyone’s too tired

Happy Thanksgiving!… https://t.co/F1tPUdT7K8"
positive,"When you’re sitting at the kids table and trying to make the baby laugh

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/QseqRPCb2e"
positive,"When you overhear your parents bragging about how well you’re doing in school

Happy Thanksgiving!… https://t.co/6Y2pE63asU"
positive,"When your mouth just wants to keep eating but your stomach can’t take any more

Happy Thanksgiving!… https://t.co/7kna3wgHiF"
positive,"When your uncles get into a hilarious argument that you have to share

Happy Thanksgiving! https://t.co/Li9fO96Y6S https://t.co/MK0TgGBK6a"
positive,"When you’re the only one watching sports on TV and your favorite team scores

Happy Thanksgiving!… https://t.co/ntpwAZxFkR"
positive,"When you reunite with your favorite cousin that you haven’t seen in a year

Happy Thanksgiving!… https://t.co/rugCp43yU4"
neutral,RT @TheEllenShow: Andy Zenor hit the red carpet of the #AMAs with the biggest stars and a lot of drinking. https://t.co/ti5WLBK1vH
neutral,RT @xtina: #amas x @vevo https://t.co/j4ZlZlU21e #whitneyxchristina https://t.co/6yXtPFDeDH
negative,"When your phone gives you the wrong directions to your dinner and you’re now in a strange part of town

Happy Thank… https://t.co/OFexjdS4L4"
positive,S/O to @portugaltheman. ?? We had so much fun at the #AMAs w you! https://t.co/6D4EZ0qn8V
positive,"V thankful for all of the amazing collaborations the #AMAs brings together each year. ?

https://t.co/F6cJmA8iJO"
positive,What's your favorite @Halsey song? ? https://t.co/egV0Gr84wB
neutral,Kanye West responds to recent rap beefs https://t.co/nqKR51k6Nb https://t.co/tUYj2PbJEG
neutral,"From “Drunk in Love” to “Crazy in Love,” here’s an all Jay and Bey themed episode of #FinishTheHit! ? https://t.co/P83hC9KrNh"
neutral,12 musicians to discover during LGBTQ #PrideMonth #30DaysPride https://t.co/8H1bVizT2Z https://t.co/vHqfqVptbp
neutral,"#ICYMI Kanye West unleashed his 7-track ""Ye"" album. Stream it now! https://t.co/55yU1NUYl8 https://t.co/gOZp0yvldv"
positive,"Chance the Rapper does Beer Yoga with Kevin Hart ?

""It exists, it's not fake"" https://t.co/0iHLOYECSj https://t.co/Z1jGhW5bOD"
positive,Read @ArianaGrande's love letter to the LGBTQ community #30DaysPride https://t.co/xyCiqJp6Eb https://t.co/qmcdGx7Ki9
positive,The year was 1998. When Britney Spears was the sweetheart of MTV's new TRL and the MP3 player was a controversial n… https://t.co/qIPZCfTPH9
negative,"Spotify removes ""hate conduct"" provision from new content policy after backlash https://t.co/gaiH3jLo5U https://t.co/di76pZDSWa"
positive,"? #Hot100 Chart Moves ?

@TheGreatKhalid &amp; @Normani's ""Love Lies"" hits the top 40 after their @BBMAs performance… https://t.co/u67QgGAG16"
neutral,"Rounding up every celebrity Kanye West shouted out on ""Ye"" https://t.co/j65EuE2hAU https://t.co/yaR6Qb5r8b"
negative,"K. Michelle talks multiple surgeries to remove illegal butt injections: ""It's the scariest thing in life""… https://t.co/QEsv9zQ7So"
neutral,"#Heathers series scrapped at Paramount Network, will be shopped elsewhere https://t.co/cvX4JlkUXa https://t.co/bLVdoI3xY6"
positive,Nick Jonas shares EDC #Anywhere video with Mustard on @Spotify's Mint playlist https://t.co/VYuoyGnofE https://t.co/MvD47oVio5
neutral,"Banda el Recodo's milestone duets album pulled from all digital platforms, including Apple, Pandora &amp; Spotify… https://t.co/FfgY94ukxD"
positive,"Daniel Ash talks inspiration behind new (but retro) band Poptone: ""It's like riding a bicycle""… https://t.co/GM6larh2w8"
positive,#13ReasonsWhy season 2 &amp; #Deadpool2 soundtracks debut in the Billboard 200 albums chart top 40… https://t.co/w6mVPmhtVF
neutral,.@MeanGirlsBway earns highest debut for a cast album in over a year on the #Billboard200 chart… https://t.co/yAYIBPJoAz
negative,.@SnowPatrolBand's Gary Lightbody talks new #Wildness album &amp; his battles with depression and alcohol… https://t.co/TsWoEvz5yK
positive,"The Midnight Hour reimagine Luther Vandross' ""So Amazing"" for their own rendition (exclusive premiere)… https://t.co/BaVTJMm8FH"
positive,.@JamesTaylor_com &amp; @SherylCrow take over the #HollywoodBowl with their decades of beloved songs (concert recap)… https://t.co/71ObHoPZY8
positive,"Benny Blanco thanks Kanye West for making his ""childhood dreams come true"" with #Ye contribution… https://t.co/ocPH90mtxq"
neutral,#QueerEye stars AJ Brown &amp; Drey got married https://t.co/3VOPUuBFSs https://t.co/EQsVybEZce
neutral,".@AllieX talks ""apocalyptic"" new single, writing with Troye Sivan &amp; her connection to the LGBTQ community… https://t.co/hiJ9Dd0Kpv"
neutral,"Watch Pusha T perform ""If You Know You Know"" on @JimmyKimmelLive https://t.co/nDlLofBuMv https://t.co/4sbT45UPVq"
positive,"Daniel Ash talks inspiration behind new, but retro, band Poptone: ""It's like riding a bicycle""… https://t.co/4VRQ2EaT64"
negative,El Fantasma adds more Reanchando en La Ciudad Tour dates with stops in Chicago and L.A. https://t.co/t1cmJ6zIHe https://t.co/DY2LdT9xdV
positive,St. Vincent plays MoMa's Party In the Garden and talks museum's restorative power https://t.co/WirYW8HMfE https://t.co/s0SeIYLaRN
neutral,Rolling Loud co-founders Matt Zingler &amp; Tariq Cherif talk globalization and spotting trends before they happen… https://t.co/Nyo7GzUvFa
positive,"David Morales, Spearmint and the best piano sample of 1998 https://t.co/ULSXOSSJ1d https://t.co/9lHIeBhoH4"
negative,"Women's advocacy group slams Spotify for putting ""profits over people"" with ""Hateful Conduct"" reversal… https://t.co/uNtFfFnGVo"
neutral,"The Who's Roger Daltrey on his first solo album in 26 years ""As Long as I Have You"" https://t.co/cElTtoFyzZ https://t.co/H0AopcRwsD"
negative,"Pop Evil aims for change with ""A Crime to Remember"" video https://t.co/5K3gxsCsrD https://t.co/4f9LnMEnJM"
neutral,"Listen to new songs by Pablo Alboran, Juanes &amp; more #VivaFriday https://t.co/EOOud0g7fO https://t.co/EwwJxx16OX"
neutral,"Future unveils track list for #Superfly soundtrack, feat. Miguel &amp; Lil Wayne https://t.co/8ddHQncmkr https://t.co/cYYwY1p21f"
negative,"Five Finger Death Punch overcome the odds for ""Justice"" https://t.co/JIuppnIiwv https://t.co/udseKJghjt"
neutral,"Frank Ocean's attorney responds to ""Blonde"" producer Om'Mas Keith's countersuit against the singer: ""Mr. Ocean will… https://t.co/7qqJDoXKxa"
neutral,"How ""Frozen"" moved from movie to musical https://t.co/Z9EhmM2yzd https://t.co/BsAGZG55PL"
positive,How well do you know Beyoncé &amp; JAY-Z's lyrics? ? https://t.co/JAyHYA2K0Y https://t.co/0lP6FOa4jY
neutral,"P!nk sings ""Just a Girl"" with Gwen Stefani &amp; 6 more highlights from LA concert https://t.co/Wd70ZDMIqj https://t.co/fxhcv1y52g"
positive,Heard Well teams up with GLSEN to curate a Pride Month compilation album of LGBTQ artists https://t.co/1g5t6qL7md https://t.co/pou10QOwzc
positive,"This One's for the Girls! 

How Shania Twain, Faith Hill &amp; Dixie Chicks led a late '90s female revolution that brok… https://t.co/CCLPifWPmv"
positive,Spotify vs. Pandora: Which radio competitor is winning at the ad-supported game? https://t.co/wuZuJW8fgk https://t.co/YAliRX3Xzu
neutral,Guns N' Roses will bring tour to Asia in November https://t.co/L6w5HyOi19 https://t.co/toFyBunwi6
neutral,"Gwen &amp; Gavin, Will &amp; Jada and more, these were music's biggest couples of 1998  https://t.co/bR90xZlV5O https://t.co/1gXWVa97ux"
positive,"TWICE's cover of ""I Want You Back"" features in new Japanese rom-com https://t.co/kUJHkrXqk0 https://t.co/VBbkYy3h1I"
positive,"The Next Generation of Lauryn Hill

From Teyana Taylor to Ella Mai, 16 artists tell us their favorite ""Miseducation… https://t.co/jlJ1RcucfX"
negative,RT @billboardhiphop: Migos miss flight to Primavera Sound and Skepta fills in https://t.co/hEmJdNMS9V https://t.co/9GmK1wWB6S
negative,"In deal for NYC Grammys, MSG warned Recording Academy that ""no events could be at Barclays"" https://t.co/dJqOj3UnF8 https://t.co/akRGohtNzZ"
negative,"The Dead South tells a sordid puppet tale in ""Miss Mary"" video (premiere) https://t.co/p8ni2VYm0i https://t.co/vJgQGdbEQH"
neutral,"Camila Cabello's ""Havana"" is Spotify's most-streamed song ever by a solo female artist https://t.co/mtvEgYbNCw https://t.co/VimrcQ9UR2"
positive,"RT @billboardhiphop: The Next Generation of Lauryn Hill: 16 artists on their favorite ""Miseducation"" songs https://t.co/SmmXYzYUOO https://…"
positive,"RT @billboardhiphop: Check out the full credits to Kanye West's ""Ye"" album https://t.co/3znEqY4i0f"
positive,Read @SelenaGomez's love letter to the LGBTQ community #30DaysPride https://t.co/Buu2zJ1MKz https://t.co/71V0rcjhwE
positive,"""Before you know it, it was like 12 pm and we had the song!"" 

@ShawnMendes tells us #HowItWentDown with his song ""… https://t.co/l4qcDe2dQT"
positive,"Snow Patrol's ""Wildness"" denied U.K. No. 1 album by ""Greatest Showman"" https://t.co/hejKt7pIY0 https://t.co/KzyTEFtzAe"
positive,"RT @billboardhiphop: Exclusive: @whoisLukejames is hopelessly addicted to love on soulful ""These Arms"" https://t.co/IWKf1SJYpO https://t.co…"
negative,Five Finger Death Punch (@FFDP) lands fifth No. 1 on Hard Rock Albums chart https://t.co/UZxoqsZ8vX https://t.co/CbqzoPFHic
positive,"Kanye West releases ""Wyoming"" merchandise collection for ""Ye"" listening party https://t.co/oQ3dtwD4oj https://t.co/dAPjCE71r7"
positive,"RT @billboarddance: These are the 7 best remixes &amp; covers of @CalvinHarris &amp; @DUALIPA's ""One Kiss"" https://t.co/XzzL9malJH https://t.co/oaL…"
neutral,"RT @billboardhiphop: ""I have been listening to Lauryn Hill for as long as I have been able to speak...I strive to become the artist that sh…"
positive,Read @BebeRexha's love letter to the LGBTQ community #30DaysPride https://t.co/Uq1AhsPDzF https://t.co/m1RW5UPfiF
neutral,9 ways the royal wedding impacted the Billboard charts https://t.co/Btk6rhH8at https://t.co/GoopK6wRAt
positive,"From Pete Rodriguez to Tito Nieves to Cardi B, the definitive history of ""I Like It Like That""… https://t.co/QL9yWpFkj0"
negative,Hacker claims they warned Ticketfly about vulnerability and sought payment https://t.co/rhpZmmLoWJ https://t.co/G4ikhOiJJf
neutral,"Jimmy Fallon and Lin-Manuel Miranda goof off while boating in ""Two Goats in a Boat"" video https://t.co/TNFJ3LZOAE https://t.co/pqJzHfszdQ"
neutral,"Queen's ""Bohemian Rhapsody"" biopic trailer sparks title track &amp; other classics on the Hot Rock Songs chart… https://t.co/Ym3yomYgX5"
positive,Read @MartinGarrix's love letter to the LGBTQ community #30DaysPride https://t.co/HUOxQI06Wi https://t.co/RrLXHZARbg
positive,"BTS release rock remix of ""Fake Love"" 

Watch the extended music video https://t.co/zpDs4N99bu https://t.co/vLDkrnXPRj"
neutral,"RT @billboarddance: Cooking with @marshmellomusic continues with ""How To Make Vegan Fish &amp; Chips"" (feat. @JamesArthur23) https://t.co/Tdxht…"
positive,RT @BillboardPride: Watch @SheaCoulee give a Pride Month herstory lesson on Crystal LaBeija https://t.co/2HfAD1edzJ https://t.co/5wDP9Xm2zN
positive,"RT @billboardhiphop: Drake &amp; Lil Baby rule the On-Demand Streaming Songs chart with ""Yes Indeed"" https://t.co/caneM5JhkZ https://t.co/TzN6Z…"
negative,"Watch the lyric video for Dee Snider's ""Tomorrow Is No Concern"" (exclusive) https://t.co/aInAUJr2lB https://t.co/Y5Pvg5JLPp"
positive,Share your own love letters to the LGBTQ community using #30DaysPride
positive,Read @BritneySpears' love letter to the LGBTQ community #30DaysPride https://t.co/banUiD14ym https://t.co/8EUqPwbdCL
neutral,Alejandro Fernandez &amp; Los Tigres del Norte to tour together https://t.co/MhIqxDzTrO https://t.co/Oz2stbObl7
